,user_id,elite,rating,rating,area_AL
COgw5a3B_fwmN0BbZObJwg,207,207,4.222222222222222,5,207
CxQ1m2iY4wQpXC64tSfWgQ,3038,3038,4.233377221856484,5,3038
DTALvZKBJH8XVAKfcQseYQ,739,739,3.8687415426251692,4,739
ERVKNes7rXoQg4J0gWhMdg,65,65,3.953846153846154,5,65
EmJOkTKIwgm7QJbls7hN3w,860,860,4.025581395348837,4,860
GJxFtnTqTiokFedNrW9iDQ,3366,3366,4.483660130718954,5,3366
GgwjulR_-ik36RnEr_MVug,370,370,4.3108108108108105,5,370
HdOxf-muJnhpBaV_8J65tg,643,643,4.6423017107309485,5,643
JfgsCMKJOCMg1O2iK4ObWA,1256,1256,3.664808917197452,4,1256
Jn-F5K1Ow_zaC0Sps7NC1Q,497,497,3.8430583501006037,4,497
JtIt-VshqofckWkbBG6cRA,108,108,4.37962962962963,5,108
K10Bdyt8gtwXNOoj87ZvuQ,436,436,4.098623853211009,4,436
KD3vnYvuHpfC_sYeWkgUTA,174,174,4.5344827586206895,5,174
Kcva2t7e6Ukpb5vMvkdc2w,438,438,3.8926940639269407,4,438
KqHES_Rr8btKCdz4RmpR_Q,20,20,5.0,5,20
LyizNBLFLB4Qkx_0_8_BaQ,621,621,3.893719806763285,4,621
MurRZhxMFipelvK2zzHRaw,145,145,4.406896551724138,5,145
OD97PIrms4dSxVbdT1T7Bw,60,60,4.2,5,60
Or5vdm-okztVKK8-3Wm1FQ,1153,1153,4.056374674761492,4,1153
Pl2c7HLD9UgFL2zHP0cZVQ,498,498,3.9819277108433737,4,498
QW3anlt1nJ9aNkdQAV-Ifw,1778,1778,3.326209223847019,4,1778
Qd6r9d5EcIRY3bWRW7-rBg,1560,1560,4.417948717948718,5,1560
S9NvWyHUPsuYK7ObMV43pA,1659,1659,4.517781796262809,5,1659
Slj9yz_RfDRqiMRH8VxUMQ,698,698,3.9040114613180514,4,698
SuA90sXOd6Jw9W_Bz6P1RA,1342,1342,4.065573770491803,4,1342
TA1KUSCu8GkWP9w0rmElxw,1853,1853,3.905558553696708,4,1853
U-i6cq-yFRVJC4pIKSLX9Q,2497,2497,4.3952743291950345,5,2497
V86AJK3xytBv2C0bwi9_Ow,365,365,4.076712328767123,4,365
WkN8Z2Q8gbhjjkCt8cDVxg,840,840,3.967857142857143,4,840
WpC8T9oazzH7A7yR5e56Vg,439,439,4.494305239179955,5,439
Z2qMwUhnGt_2pA9uQbS7Uw,1710,1710,3.946783625730994,4,1710
ZKZGgOsRPpAjc9oMBT_uBw,22,22,4.590909090909091,5,22
ZdEohT36LcY3eKh4fJMGRQ,700,700,4.1657142857142855,5,700
_IFMCrheTi12RqiR7jvJUg,226,226,3.8805309734513274,4,226
bAybZImsqUwinMrzZlzVIQ,1216,1216,4.124177631578948,4,1216
bJ7CAbc32-M5h35YiAeSIw,5,5,5.0,5,5
bP6goJODwRnM3AVy45Kn9w,949,949,3.9631190727081136,4,949
bSmQbw5A-WA0TtmFc1NTpQ,712,712,4.01123595505618,5,712
bhGLJ3MdqAKmLHANNH-L3g,88,88,3.875,4,88
bsjyXlPMSPHFLKf89mTvbw,22,22,4.545454545454546,5,22
dfL1KYHtcs6YaFVx-nZTdQ,332,332,4.355421686746988,5,332
e1RoEC5uvzXnLXbjuK3ZSg,287,287,4.351916376306621,5,287
eG-UO83g_5zDk70FIJbm2w,2560,2560,4.336328125,5,2560
eMJGDVzTH7mbGNWIfz6jcQ,488,488,4.252049180327869,5,488
eqFA5BJ5NDjZ4TaUXJazfg,1776,1776,4.416103603603603,5,1776
flrsv0dum7T68jy7QSDRKw,548,548,4.467153284671533,5,548
g0KkQmGXCtxkzHWoYEQa4A,43,43,4.627906976744186,5,43
g9YfGaCb49yrLb7FpD9A7g,263,263,4.403041825095057,5,263
hVL_gLKPoCTMlS5Pux_XWg,618,618,3.8042071197411005,4,618
iNpKyGdjCb40PECLpyF-rg,144,144,4.381944444444445,5,144
jbKI2uM4nrRIlBT2sMX3MQ,994,994,3.9637826961770624,4,994
jh07n3CFoc8gskZ8F-2g9w,701,701,3.9671897289586306,4,701
jx0yeEipLwhKDlwWcyGt9Q,611,611,4.436988543371522,5,611
kGb2Rnh3Uwni5k0qQY-05Q,1014,1014,3.888560157790927,4,1014
kzXrQKJpN2JyLd68iwH3hg,737,737,4.043419267299864,4,737
oGshUJhbJsjsnaQZXJaDNA,549,549,3.9854280510018216,4,549
qJAoMZ773AMxN3ewp8cbQA,722,722,4.509695290858725,5,722
qTXYie0Phy8JbuOau4rTmg,56,56,4.410714285714286,5,56
r0JxdG5StcD8eiHF9u01ZQ,641,641,4.322932917316693,5,641
rNmAxOkEJ07_YHAxHKyH4Q,270,270,3.859259259259259,4,270
tDv2qG4N7PsYLN0QYuuaZQ,240,240,4.308333333333334,5,240
u-4wti774tFcYRLuQrnHEg,3689,3689,4.268636486852806,5,3689
uO4A77jXMPfZmlbf_52zRw,537,537,4.445065176908752,5,537
uZaT6J821lHMFrfrFno7lg,732,732,4.344262295081967,5,732
v3Bj4U3WMuol_VLJLQpvRQ,275,275,3.941818181818182,5,275
vFulipMlcFyN60_SyAhjyA,911,911,3.982436882546652,4,911
vQgMPq9_YttFX6nau6PomA,69,69,4.27536231884058,5,69
vgUv079XkNbWOtBf3tYKnw,53,53,4.528301886792453,5,53
yNRCLu9ESXu9M9R-nO_fEQ,6,6,4.833333333333333,5,6
yWsHawhAIt1rINn4U8s3kQ,254,254,4.161417322834645,5,254
yoHbWZBDmgHyl5oWMQRIoQ,95,95,4.557894736842106,5,95
z9oCxeqOKp2QMfM24m7bUw,900,900,3.897777777777778,4,900
